,epochs,learning_rate,dimensions,min_char_grams,max_char_grams,minimum_word_count,word_ngrams,accuracy
0,10.0,0.16528321293336487,100.0,1.0,5.0,5.0,4.0,0.1642996379838485
1,10.0,0.1939673972862364,100.0,1.0,4.0,5.0,1.0,0.2988025619604567
2,10.0,0.7037162579797095,100.0,1.0,6.0,3.0,1.0,0.8075744917850181
3,10.0,0.7812650125518045,100.0,3.0,6.0,3.0,2.0,0.8638262322472848
4,10.0,0.3835694358818178,100.0,2.0,5.0,8.0,3.0,0.6825396825396826
5,10.0,0.8951484002062103,100.0,2.0,6.0,7.0,3.0,0.8540796435533278
