,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.bootstrap_cl_lower,metrics.bootstrap_cl_upper,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.user,tags.mlflow.source.git.commit
0,53fcea49875e4304bd469aa11244c012,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/53fcea49875e4304bd469aa11244c012/artifacts,2020-03-23 20:02:02.826000+00:00,2020-03-23 20:02:05.281000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,d0e7bd8082a1b7b0cba0d2b55c6695b6709f7e50
1,fbbe8d83f0624e50900f32a2ae341115,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/fbbe8d83f0624e50900f32a2ae341115/artifacts,2020-03-23 20:00:47.974000+00:00,2020-03-23 20:00:50.873000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
2,9f75cb4269084dd6a6079026edaa4da4,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/9f75cb4269084dd6a6079026edaa4da4/artifacts,2020-03-23 20:00:24.177000+00:00,2020-03-23 20:00:26.823000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
3,cbbfae60afd9434eb4d7ce68253de322,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/cbbfae60afd9434eb4d7ce68253de322/artifacts,2020-03-23 19:58:57.611000+00:00,2020-03-23 19:59:00.592000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
4,1242faf6de494d2f946cff5794c1594a,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/1242faf6de494d2f946cff5794c1594a/artifacts,2020-03-23 19:57:45.402000+00:00,2020-03-23 19:57:47.829000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
5,507a401217f94f6686eb44ac570fc93a,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/507a401217f94f6686eb44ac570fc93a/artifacts,2020-03-23 19:57:03.530000+00:00,2020-03-23 19:57:05.982000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
6,a45bb7006c884024bc5c1b82a3bb9dfc,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/a45bb7006c884024bc5c1b82a3bb9dfc/artifacts,2020-03-23 19:52:22.556000+00:00,2020-03-23 19:52:25.084000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
7,613e8a12307c4ba8a91d4645acd6278b,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/613e8a12307c4ba8a91d4645acd6278b/artifacts,2020-03-23 19:50:20.227000+00:00,2020-03-23 19:50:23.583000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
8,bb07bdeef0e24ab5aedd61284e137430,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/bb07bdeef0e24ab5aedd61284e137430/artifacts,2020-03-23 19:47:24.973000+00:00,2020-03-23 19:47:29.785000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
9,e464afba53f944899e40de187f08bc61,0,FINISHED,file:///C:/Users/Justin%20Evans/Documents/Python/fasttext_project/run_scripts/mlruns/0/e464afba53f944899e40de187f08bc61/artifacts,2020-03-23 19:45:25.599000+00:00,2020-03-23 19:45:30.659000+00:00,,,LOCAL,C:/Users/Justin Evans/Documents/Python/fasttext_project/run_scripts/master.py,Justin Evans,f9120413c5bd1ba5fc892813d818e42022cb2067
