,confidence,error_rate,autocoding_rate
0,9.900000000000004,5.0,32.25
1,9.800000000000004,6.290000000000006,39.19
2,9.700000000000005,6.920000000000002,43.96
3,9.600000000000005,8.079999999999998,47.03
4,9.500000000000004,8.599999999999994,49.29
5,9.400000000000004,8.939999999999998,51.92
6,9.300000000000004,9.480000000000004,53.87
7,9.200000000000003,9.780000000000001,55.79
8,9.100000000000003,10.14,57.44
9,9.000000000000004,10.480000000000004,59.19
10,8.900000000000004,10.989999999999995,60.41
11,8.800000000000004,11.420000000000002,62.0
12,8.700000000000003,11.64,62.91
13,8.600000000000003,11.900000000000006,63.97
14,8.500000000000004,12.200000000000003,65.03
15,8.400000000000002,12.400000000000006,65.83
16,8.300000000000002,12.560000000000002,66.59
17,8.200000000000003,12.870000000000005,67.44
18,8.100000000000003,13.069999999999993,67.93
19,8.000000000000004,13.409999999999997,68.89
20,7.900000000000002,13.709999999999994,69.63
21,7.8000000000000025,14.019999999999996,70.37
22,7.700000000000003,14.340000000000003,71.48
23,7.600000000000002,14.61,72.19
24,7.500000000000002,14.829999999999998,72.73
25,7.400000000000002,15.170000000000002,73.4
26,7.3000000000000025,15.469999999999999,74.39
27,7.200000000000002,15.840000000000003,75.08
28,7.100000000000001,16.150000000000006,75.77
29,7.000000000000002,16.36,76.47
30,6.900000000000002,16.5,76.85
31,6.800000000000002,16.58,77.44
32,6.700000000000001,16.810000000000002,78.03
33,6.600000000000001,17.28,78.85
34,6.500000000000002,17.510000000000005,79.33
35,6.400000000000001,17.769999999999996,79.89
36,6.300000000000001,17.950000000000003,80.51
37,6.200000000000001,18.28,81.05
38,6.100000000000001,18.620000000000005,81.71
39,6.000000000000001,18.879999999999995,82.2
40,5.9,19.36,83.13
41,5.800000000000001,19.5,83.97
42,5.700000000000001,19.739999999999995,84.64
43,5.6000000000000005,20.14,85.61
44,5.5,20.290000000000006,86.01
45,5.4,20.47,86.75
46,5.300000000000001,20.799999999999997,87.32
47,5.2,21.209999999999994,88.07
48,5.1,21.519999999999996,88.71
49,5.0,21.840000000000003,89.51
