,confidence,error_rate,autocoding_rate
0,9.900000000000004,3.3100000000000023,15.42
1,9.800000000000004,3.989999999999995,19.51
2,9.700000000000005,4.700000000000003,22.68
3,9.600000000000005,4.980000000000004,25.86
4,9.500000000000004,5.790000000000006,27.99
5,9.400000000000004,6.060000000000002,31.17
6,9.300000000000004,6.6200000000000045,32.9
7,9.200000000000003,7.209999999999994,34.53
8,9.100000000000003,7.269999999999996,36.06
9,9.000000000000004,7.709999999999994,37.46
10,8.900000000000004,8.420000000000002,39.04
11,8.800000000000004,8.810000000000002,40.59
12,8.700000000000003,9.040000000000006,42.01
13,8.600000000000003,9.430000000000007,43.1
14,8.500000000000004,10.230000000000004,44.1
15,8.400000000000002,11.049999999999997,45.26
16,8.300000000000002,11.340000000000003,46.23
17,8.200000000000003,11.709999999999994,47.61
18,8.100000000000003,12.180000000000007,48.52
19,8.000000000000004,12.310000000000002,49.46
20,7.900000000000002,12.620000000000005,50.37
21,7.8000000000000025,12.86,51.3
22,7.700000000000003,13.069999999999993,52.52
23,7.600000000000002,13.39,53.61
24,7.500000000000002,13.650000000000006,54.7
25,7.400000000000002,13.900000000000006,55.77
26,7.3000000000000025,14.5,56.99
27,7.200000000000002,14.909999999999997,57.96
28,7.100000000000001,15.189999999999998,58.94
29,7.000000000000002,15.530000000000001,60.1
30,6.900000000000002,15.849999999999994,61.1
31,6.800000000000002,16.11,61.92
32,6.700000000000001,16.510000000000005,62.59
33,6.600000000000001,16.92,63.96
34,6.500000000000002,17.25,64.79
35,6.400000000000001,17.53,65.52
36,6.300000000000001,17.83,66.54
37,6.200000000000001,18.159999999999997,67.27
38,6.100000000000001,18.239999999999995,67.98
39,6.000000000000001,18.599999999999994,68.67
40,5.9,18.939999999999998,69.56
41,5.800000000000001,19.370000000000005,70.54
42,5.700000000000001,19.730000000000004,71.52
43,5.6000000000000005,20.060000000000002,72.67
44,5.5,20.5,73.58
45,5.4,20.75,74.29
46,5.300000000000001,20.92,75.09
47,5.2,21.480000000000004,76.32
48,5.1,21.790000000000006,77.09
49,5.0,22.39,78.29
